Date,Event mm,Flag,
15/12/2014 19:03:18,0.2,,
15/12/2014 19:09:42,0.2,,
15/12/2014 19:09:43,0.2,,
15/12/2014 19:13:40,0.2,,
15/12/2014 19:17:33,0.2,,
15/12/2014 19:20:47,0.2,,
15/12/2014 19:20:48,0.2,,
15/12/2014 19:24:45,0.2,,
15/12/2014 19:31:49,0.2,,
15/12/2014 19:47:25,0.2,,
15/12/2014 21:05:09,0.2,,
16/12/2014 03:59:54,0.2,,
16/12/2014 14:07:46,0.2,,
16/12/2014 14:09:34,0.2,,
16/12/2014 14:11:49,0.2,,
16/12/2014 14:17:05,0.2,,
16/12/2014 15:39:40,0.2,,
16/12/2014 16:01:00,0.2,,
16/12/2014 16:06:23,0.2,,
16/12/2014 16:12:03,0.2,,
16/12/2014 16:20:09,0.2,,
16/12/2014 16:28:45,0.2,,
16/12/2014 17:24:37,0.2,,
18/12/2014 10:42:30,0.2,,
19/12/2014 09:40:14,0,x,
19/12/2014 09:40:15,0,x,
19/12/2014 09:40:16,0,x,
19/12/2014 09:40:17,0,x,
19/12/2014 09:40:18,0,x,
19/12/2014 09:40:26,0,x,
19/12/2014 09:40:27,0,x,
19/12/2014 09:40:28,0,x,
19/12/2014 09:40:29,0,x,
19/12/2014 09:40:30,0,x,
19/12/2014 09:40:31,0,x,
19/12/2014 09:40:32,0,x,
19/12/2014 09:40:33,0,x,
19/12/2014 09:40:34,0,x,
19/12/2014 09:40:35,0,x,
19/12/2014 09:40:36,0,x,
19/12/2014 09:40:37,0,x,
19/12/2014 09:40:38,0,x,
19/12/2014 09:40:39,0,x,
19/12/2014 09:40:40,0,x,
19/12/2014 09:40:41,0,x,
19/12/2014 09:40:42,0,x,
19/12/2014 09:42:17,0,x,
19/12/2014 09:42:38,0,x,
19/12/2014 09:42:41,0,x,
19/12/2014 09:42:43,0,x,
19/12/2014 09:42:44,0,x,
19/12/2014 09:42:45,0,x,
19/12/2014 09:42:46,0,x,
19/12/2014 09:42:47,0,x,
19/12/2014 09:42:48,0,x,
19/12/2014 09:42:49,0,x,
19/12/2014 09:42:50,0,x,
19/12/2014 09:42:51,0,x,
19/12/2014 09:42:52,0,x,
19/12/2014 09:42:53,0,x,
19/12/2014 09:42:54,0,x,
19/12/2014 09:42:55,0,x,
19/12/2014 09:42:56,0,x,
19/12/2014 09:42:57,0,x,
19/12/2014 09:42:58,0,x,
19/12/2014 09:43:00,0,x,
19/12/2014 09:44:04,0,x,
19/12/2014 09:44:05,0,x,
19/12/2014 09:44:08,0,x,
24/12/2014 13:43:19,0.2,,
24/12/2014 13:57:04,0.2,,
24/12/2014 13:57:05,0.2,,
24/12/2014 14:04:44,0.2,,
24/12/2014 14:04:45,0.2,,
24/12/2014 14:21:00,0.2,,
24/12/2014 15:12:50,0.2,,
25/12/2014 11:35:38,0.2,,
25/12/2014 13:17:24,0.2,,
25/12/2014 13:20:14,0.2,,
25/12/2014 13:20:15,0.2,,
25/12/2014 13:22:36,0.2,,
25/12/2014 13:22:37,0.2,,
25/12/2014 14:56:10,0.2,,
25/12/2014 14:59:44,0.2,,
25/12/2014 15:04:30,0.2,,
25/12/2014 15:09:20,0.2,,
25/12/2014 15:14:57,0.2,,
25/12/2014 15:14:58,0.2,,
25/12/2014 15:17:39,0.2,,
25/12/2014 15:21:00,0.2,,
25/12/2014 15:23:18,0.2,,
25/12/2014 15:27:00,0.2,,
25/12/2014 15:28:36,0.2,,
25/12/2014 15:28:37,0.2,,
25/12/2014 15:31:09,0.2,,
25/12/2014 15:34:37,0.2,,
25/12/2014 15:37:41,0.2,,
25/12/2014 15:37:42,0.2,,
25/12/2014 15:39:47,0.2,,
25/12/2014 15:41:02,0.2,,
25/12/2014 15:41:57,0.2,,
25/12/2014 15:44:03,0.2,,
25/12/2014 15:46:43,0.2,,
25/12/2014 15:46:44,0.2,,
25/12/2014 15:48:34,0.2,,
25/12/2014 15:50:01,0.2,,
25/12/2014 15:51:54,0.2,,
25/12/2014 15:53:24,0.2,,
25/12/2014 15:53:25,0.2,,
25/12/2014 15:55:17,0.2,,
25/12/2014 15:57:57,0.2,,
25/12/2014 16:01:51,0.2,,
25/12/2014 16:04:31,0.2,,
25/12/2014 16:08:25,0.2,,
25/12/2014 16:14:42,0.2,,
25/12/2014 16:21:18,0.2,,
25/12/2014 16:27:28,0.2,,
25/12/2014 16:37:30,0.2,,
25/12/2014 16:51:53,0.2,,
26/12/2014 12:24:27,0.2,,
26/12/2014 13:44:37,0.2,,
26/12/2014 13:50:30,0.2,,
26/12/2014 13:55:17,0.2,,
26/12/2014 14:00:21,0.2,,
26/12/2014 14:01:58,0.2,,
26/12/2014 14:01:59,0.2,,
26/12/2014 14:03:43,0.2,,
26/12/2014 14:03:44,0.2,,
26/12/2014 14:06:51,0.2,,
26/12/2014 14:11:59,0.2,,
26/12/2014 14:12:47,0.2,,
26/12/2014 14:13:37,0.2,,
26/12/2014 14:14:00,0.2,,
26/12/2014 14:14:38,0.2,,
26/12/2014 14:15:09,0.2,,
26/12/2014 14:15:39,0.2,,
26/12/2014 14:16:03,0.2,,
26/12/2014 14:16:25,0.2,,
26/12/2014 14:16:47,0.2,,
26/12/2014 14:17:11,0.2,,
26/12/2014 14:17:37,0.2,,
26/12/2014 14:18:03,0.2,,
26/12/2014 14:18:27,0.2,,
26/12/2014 14:18:28,0.2,,
26/12/2014 14:18:52,0.2,,
26/12/2014 14:20:19,0.2,,
26/12/2014 14:21:43,0.2,,
26/12/2014 14:23:31,0.2,,
26/12/2014 14:28:06,0.2,,
26/12/2014 14:28:07,0.2,,
26/12/2014 14:49:18,0.2,,
26/12/2014 15:02:02,0.2,,
26/12/2014 15:07:10,0.2,,
26/12/2014 15:10:22,0.2,,
26/12/2014 15:27:35,0.2,,
26/12/2014 15:35:40,0.2,,
26/12/2014 15:42:00,0.2,,
26/12/2014 15:42:01,0.2,,
26/12/2014 15:53:10,0.2,,
26/12/2014 16:16:08,0.2,,
26/12/2014 16:22:57,0.2,,
26/12/2014 16:26:12,0.2,,
26/12/2014 16:29:47,0.2,,
26/12/2014 16:32:20,0.2,,
26/12/2014 16:36:06,0.2,,
26/12/2014 16:40:18,0.2,,
26/12/2014 16:45:11,0.2,,
26/12/2014 16:48:48,0.2,,
26/12/2014 16:48:49,0.2,,
26/12/2014 16:52:29,0.2,,
26/12/2014 17:21:44,0.2,,
26/12/2014 17:27:33,0.2,,
